DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,State,Region,Division,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
682 - RENAL FAILURE W MCC,260183,ST FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,Missouri,Midwest,West North Central,63703,MO - Cape Girardeau,40,39433.12,9942.47,8785.65
682 - RENAL FAILURE W MCC,260186,LAKE REGIONAL HEALTH SYSTEM,54 HOSPITAL DRIVE,OSAGE BEACH,MO,Missouri,Midwest,West North Central,65065,MO - Columbia,14,38802.78,11518.42,11033.28
682 - RENAL FAILURE W MCC,260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,LEES SUMMIT,MO,Missouri,Midwest,West North Central,64063,MO - Kansas City,19,55448.52,10802.1,10345.36
682 - RENAL FAILURE W MCC,260191,BARNES-JEWISH ST PETERS HOSPITAL,10 HOSPITAL DR,SAINT PETERS,MO,Missouri,Midwest,West North Central,63376,MO - St. Louis,31,22038.09,8404.32,7354.19
682 - RENAL FAILURE W MCC,260193,ST MARY'S MEDICAL CENTER,201 NW R D MIZE RD,BLUE SPRINGS,MO,Missouri,Midwest,West North Central,64014,MO - Kansas City,18,33867.11,9068.16,8568.61
682 - RENAL FAILURE W MCC,260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUI,MO,Missouri,Midwest,West North Central,63367,MO - St. Louis,35,33502.94,8682.97,8107.2
682 - RENAL FAILURE W MCC,260210,ST ALEXIUS HOSPITAL,3933 S BROADWAY,SAINT LOUIS,MO,Missouri,Midwest,West North Central,63118,MO - St. Louis,24,30886.33,10369.75,9667.58
682 - RENAL FAILURE W MCC,260216,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,Missouri,Midwest,West North Central,64086,MO - Kansas City,23,42433.21,9521.17,8825.39
682 - RENAL FAILURE W MCC,260219,PROGRESS WEST HEALTHCARE CENTER,2 PROGRESS POINT PKWY,O FALLON,MO,Missouri,Midwest,West North Central,63368,MO - St. Louis,11,20854.81,10675.81,8754.72
682 - RENAL FAILURE W MCC,270004,BILLINGS CLINIC HOSPITAL,2800 10TH AVE N,BILLINGS,MT,Montana,West,Mountain,59101,MT - Billings,24,26579.16,11492.95,9068.25
682 - RENAL FAILURE W MCC,270012,BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS,MT,Montana,West,Mountain,59405,MT - Great Falls,13,18309.46,10129.07,9142.3
682 - RENAL FAILURE W MCC,270014,ST PATRICK HOSPITAL,500 W BROADWAY,MISSOULA,MT,Montana,West,Mountain,59806,MT - Missoula,23,35821.13,8934.73,8323.69
682 - RENAL FAILURE W MCC,270017,ST JAMES HEALTHCARE,400 S CLARK ST,BUTTE,MT,Montana,West,Mountain,59701,MT - Missoula,22,22259.95,11673.59,10963.4
682 - RENAL FAILURE W MCC,270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS,MT,Montana,West,Mountain,59107,MT - Billings,30,21033.6,11908.56,9138.66
682 - RENAL FAILURE W MCC,270051,KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,MT,Montana,West,Mountain,59901,MT - Missoula,14,27204.78,10251.42,9532.78
682 - RENAL FAILURE W MCC,280003,BRYANLGH MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,NE,Nebraska,Midwest,West North Central,68506,NE - Lincoln,68,32234.17,9806.5,8968.02
682 - RENAL FAILURE W MCC,280009,GOOD SAMARITAN HOSPITAL,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,Nebraska,Midwest,West North Central,68848,NE - Omaha,32,38597.75,12095.03,11462.31
682 - RENAL FAILURE W MCC,280013,THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,Nebraska,Midwest,West North Central,68198,NE - Omaha,98,35956.72,12580.06,11675.27
682 - RENAL FAILURE W MCC,280020,SAINT ELIZABETH REGIONAL MEDICAL CENTER,555 SOUTH 70TH ST,LINCOLN,NE,Nebraska,Midwest,West North Central,68510,NE - Lincoln,32,31399.15,9524.43,8890.68
682 - RENAL FAILURE W MCC,280023,ST FRANCIS MEDICAL CENTER,2620 WEST FAIDLEY AVE,GRAND ISLAND,NE,Nebraska,Midwest,West North Central,68803,NE - Omaha,35,26971.82,9089.22,8318.48
682 - RENAL FAILURE W MCC,280030,CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,601 NORTH 30TH ST,OMAHA,NE,Nebraska,Midwest,West North Central,68131,NE - Omaha,24,91274.25,17483.79,16640.12
682 - RENAL FAILURE W MCC,280032,MARY LANNING MEMORIAL HOSPITAL,715 N ST JOSEPH AVE,HASTINGS,NE,Nebraska,Midwest,West North Central,68901,NE - Lincoln,19,15792.26,9391.89,8678.63
682 - RENAL FAILURE W MCC,280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA,NE,Nebraska,Midwest,West North Central,68114,NE - Omaha,16,41397.87,9952.81,9461.56
682 - RENAL FAILURE W MCC,280060,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,7500 MERCY RD,OMAHA,NE,Nebraska,Midwest,West North Central,68124,NE - Omaha,44,37870.2,10550.38,9795.81
682 - RENAL FAILURE W MCC,280065,GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,Nebraska,Midwest,West North Central,69101,NE - Lincoln,18,20371.16,10103.05,9479.5
682 - RENAL FAILURE W MCC,280081,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,6901 NORTH 72ND ST,OMAHA,NE,Nebraska,Midwest,West North Central,68122,NE - Omaha,22,56459.68,12526.31,11580.22
682 - RENAL FAILURE W MCC,280130,ALEGENT HEALTH LAKESIDE HOSPITAL,16901 LAKESIDE HILLS CT,OMAHA,NE,Nebraska,Midwest,West North Central,68130,NE - Omaha,26,36855.46,9178.03,7678.42
682 - RENAL FAILURE W MCC,290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,Nevada,West,Mountain,89502,NV - Reno,70,47822.67,11687.95,10040.4
682 - RENAL FAILURE W MCC,290003,SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,LAS VEGAS,NV,Nevada,West,Mountain,89109,NV - Las Vegas,96,90310.48,13258.79,11974.52
682 - RENAL FAILURE W MCC,290005,NORTH VISTA HOSPITAL,1409 EAST LAKE MEAD BLVD,NORTH LAS VEGAS,NV,Nevada,West,Mountain,89030,NV - Las Vegas,18,105566.77,12067.22,11256.77
682 - RENAL FAILURE W MCC,290007,UMC OF SOUTHERN NEVADA,1800 W CHARLESTON BLVD,LAS VEGAS,NV,Nevada,West,Mountain,89102,NV - Las Vegas,29,50353.1,14265.72,12684.34
682 - RENAL FAILURE W MCC,290009,SAINT MARY'S REGIONAL MEDICAL CENTER,235 W 6TH ST,RENO,NV,Nevada,West,Mountain,89503,NV - Reno,33,55305.87,10142.96,9251.54
682 - RENAL FAILURE W MCC,290012,SAINT ROSE DOMINICAN HOSPITAL - DE LIMA,102 E LAKE MEAD DR,HENDERSON,NV,Nevada,West,Mountain,89015,NV - Las Vegas,20,44914.5,10555.15,9909.05
682 - RENAL FAILURE W MCC,290019,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,Nevada,West,Mountain,89703,NV - Reno,42,48961.26,12128.02,11379.42
682 - RENAL FAILURE W MCC,290021,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,Nevada,West,Mountain,89106,NV - Las Vegas,57,92382.85,13741.22,13175.33
682 - RENAL FAILURE W MCC,290022,DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,Nevada,West,Mountain,89119,NV - Las Vegas,48,75313.14,10898.72,8961.6
682 - RENAL FAILURE W MCC,290032,NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,SPARKS,NV,Nevada,West,Mountain,89434,NV - Reno,20,58018.05,10064.8,9615.2
682 - RENAL FAILURE W MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,Nevada,West,Mountain,89128,NV - Las Vegas,71,84786.52,11323.8,10205.07
682 - RENAL FAILURE W MCC,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,Nevada,West,Mountain,89144,NV - Las Vegas,41,79183.14,11855.17,11016.65
682 - RENAL FAILURE W MCC,290045,SAINT ROSE DOMINICAN HOSPITAL - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,Nevada,West,Mountain,89052,NV - Las Vegas,42,67733.69,11384.64,9065.16
682 - RENAL FAILURE W MCC,290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,Nevada,West,Mountain,89118,NV - Las Vegas,21,125603.85,13184.28,12176.19
682 - RENAL FAILURE W MCC,290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET,LAS VEGAS,NV,Nevada,West,Mountain,89148,NV - Las Vegas,22,88789.68,11429.13,10060.22
682 - RENAL FAILURE W MCC,290053,SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,8280 W WARM SPRINGS ROAD,LAS VEGAS,NV,Nevada,West,Mountain,89113,NV - Las Vegas,32,56330.71,10752.21,9672.56
682 - RENAL FAILURE W MCC,290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,Nevada,West,Mountain,89149,NV - Las Vegas,23,64859.47,10792.91,9594.82
682 - RENAL FAILURE W MCC,300001,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,New Hampshire,Northeast,New England,3301,NH - Manchester,31,24942.0,10022.16,9295.96
682 - RENAL FAILURE W MCC,300003,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,New Hampshire,Northeast,New England,3756,NH - Lebanon,55,33741.45,15472.49,14940.87
682 - RENAL FAILURE W MCC,300005,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,New Hampshire,Northeast,New England,3246,NH - Manchester,14,28012.07,10531.92,9474.85
682 - RENAL FAILURE W MCC,300011,ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,New Hampshire,Northeast,New England,3060,NH - Manchester,26,23425.03,10057.26,9274.8
682 - RENAL FAILURE W MCC,300012,ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,NH,New Hampshire,Northeast,New England,3103,NH - Manchester,39,19571.92,9839.05,9293.3
682 - RENAL FAILURE W MCC,300014,FRISBIE MEMORIAL HOSPITAL,11 WHITEHALL ROAD,ROCHESTER,NH,New Hampshire,Northeast,New England,3867,ME - Portland,13,22549.84,9769.53,9164.92
682 - RENAL FAILURE W MCC,300017,PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,New Hampshire,Northeast,New England,3038,NH - Manchester,21,23734.85,8787.23,7981.71
682 - RENAL FAILURE W MCC,300018,WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,NH,New Hampshire,Northeast,New England,3820,ME - Portland,20,23998.95,10112.8,8687.45
682 - RENAL FAILURE W MCC,300019,CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,New Hampshire,Northeast,New England,3431,NH - Lebanon,20,29619.05,14575.95,12994.35
682 - RENAL FAILURE W MCC,300020,SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,New Hampshire,Northeast,New England,3060,NH - Manchester,35,30931.91,11740.6,11165.77
682 - RENAL FAILURE W MCC,300023,EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,New Hampshire,Northeast,New England,3833,NH - Manchester,21,30806.04,10188.76,9383.23
682 - RENAL FAILURE W MCC,300029,PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,New Hampshire,Northeast,New England,3801,NH - Manchester,22,50803.86,13364.36,12468.27
682 - RENAL FAILURE W MCC,300034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,New Hampshire,Northeast,New England,3102,NH - Manchester,24,33286.16,9454.08,8631.33
682 - RENAL FAILURE W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,New Jersey,Northeast,Middle Atlantic,7601,NJ - Hackensack,169,96096.57,13887.86,13246.4
682 - RENAL FAILURE W MCC,310002,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,New Jersey,Northeast,Middle Atlantic,7112,NJ - Newark,51,130656.6,23081.21,21531.66
682 - RENAL FAILURE W MCC,310003,PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S,7600 RIVER RD,NORTH BERGEN,NJ,New Jersey,Northeast,Middle Atlantic,7047,NJ - Hackensack,38,86151.94,14960.44,14180.18
682 - RENAL FAILURE W MCC,310005,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,New Jersey,Northeast,Middle Atlantic,8822,PA - Philadelphia,17,45867.88,11864.23,10583.64
682 - RENAL FAILURE W MCC,310006,"ST MARY'S HOSPITAL, PASSAIC",350 BOULEVARD,PASSAIC,NJ,New Jersey,Northeast,Middle Atlantic,7055,NJ - Hackensack,28,79609.17,13576.32,12352.25
682 - RENAL FAILURE W MCC,310008,HOLY NAME MEDICAL CENTER,718 TEANECK RD,TEANECK,NJ,New Jersey,Northeast,Middle Atlantic,7666,NJ - Hackensack,60,67971.01,11954.21,11243.05
682 - RENAL FAILURE W MCC,310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAAS DRIVE,BELLEVILLE,NJ,New Jersey,Northeast,Middle Atlantic,7109,NJ - Newark,67,82765.89,12092.07,11484.38
682 - RENAL FAILURE W MCC,310010,UNIVERSITY MEDICAL CENTER AT PRINCETON,253 WITHERSPOON ST,PRINCETON,NJ,New Jersey,Northeast,Middle Atlantic,8540,NJ - New Brunswick,34,56069.94,12854.08,10862.47
682 - RENAL FAILURE W MCC,310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT,NJ,New Jersey,Northeast,Middle Atlantic,8210,NJ - Camden,58,33497.6,9964.87,9150.25
682 - RENAL FAILURE W MCC,310012,VALLEY HOSPITAL,223 N VAN DIEN AVENUE,RIDGEWOOD,NJ,New Jersey,Northeast,Middle Atlantic,7450,NJ - Ridgewood,77,61984.32,12739.71,11160.81
682 - RENAL FAILURE W MCC,310014,COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,CAMDEN,NJ,New Jersey,Northeast,Middle Atlantic,8103,NJ - Camden,42,83827.52,15251.59,14698.23
682 - RENAL FAILURE W MCC,310015,MORRISTOWN MEMORIAL HOSPITAL,100 MADISON AVE,MORRISTOWN,NJ,New Jersey,Northeast,Middle Atlantic,7962,NJ - Morristown,76,60068.94,13230.25,12345.9
682 - RENAL FAILURE W MCC,310016,CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,New Jersey,Northeast,Middle Atlantic,7306,NJ - Newark,28,150804.14,15055.89,14256.5
682 - RENAL FAILURE W MCC,310017,CHILTON HOSPITAL,97 WEST PARKWAY,POMPTON PLAINS,NJ,New Jersey,Northeast,Middle Atlantic,7444,NJ - Paterson,26,69360.65,11023.42,10245.88
682 - RENAL FAILURE W MCC,310019,ST JOSEPH'S REGIONAL MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,New Jersey,Northeast,Middle Atlantic,7503,NJ - Paterson,70,87812.52,15389.57,14687.1
682 - RENAL FAILURE W MCC,310022,VIRTUA WEST JERSEY HOSPITALS BERLIN,WHITEHORSE PIKE AND TOWNSEND AVENUE,BERLIN,NJ,New Jersey,Northeast,Middle Atlantic,8009,NJ - Camden,102,90070.74,13665.45,11367.77
682 - RENAL FAILURE W MCC,310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,New Jersey,Northeast,Middle Atlantic,7065,NJ - Newark,34,111322.76,10286.26,9755.44
682 - RENAL FAILURE W MCC,310025,BAYONNE HOSPITAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,New Jersey,Northeast,Middle Atlantic,7002,NJ - Newark,25,164729.2,10755.28,10081.2
682 - RENAL FAILURE W MCC,310027,TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,ELIZABETH,NJ,New Jersey,Northeast,Middle Atlantic,7207,NJ - Newark,23,66680.52,12845.69,12063.78
682 - RENAL FAILURE W MCC,310028,NEWTON MEMORIAL HOSPITAL,175 HIGH ST,NEWTON,NJ,New Jersey,Northeast,Middle Atlantic,7860,NJ - Morristown,26,105125.5,11353.0,10047.38
682 - RENAL FAILURE W MCC,310029,OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,New Jersey,Northeast,Middle Atlantic,8103,NJ - Camden,49,101567.83,13154.22,12152.53
682 - RENAL FAILURE W MCC,310032,SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,1505 W SHERMAN AVE,VINELAND,NJ,New Jersey,Northeast,Middle Atlantic,8360,NJ - Camden,120,79126.75,12021.27,11140.25
682 - RENAL FAILURE W MCC,310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,New Jersey,Northeast,Middle Atlantic,7701,NJ - Camden,47,73407.57,9848.72,9299.53
682 - RENAL FAILURE W MCC,310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PL,NEW BRUNSWICK,NJ,New Jersey,Northeast,Middle Atlantic,8901,NJ - New Brunswick,68,119953.05,16684.69,15861.95
682 - RENAL FAILURE W MCC,310039,RARITAN BAY MEDICAL CENTER,530 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,New Jersey,Northeast,Middle Atlantic,8861,NJ - New Brunswick,87,85266.19,12873.27,12272.65
682 - RENAL FAILURE W MCC,310040,HOBOKEN UNIVERSITY MEDICAL CENTER,308 WILLOW AVE,HOBOKEN,NJ,New Jersey,Northeast,Middle Atlantic,7030,NJ - Hackensack,19,130441.52,19078.73,18416.84
682 - RENAL FAILURE W MCC,310041,COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,New Jersey,Northeast,Middle Atlantic,8755,NJ - Camden,236,74700.11,9924.99,9153.2
682 - RENAL FAILURE W MCC,310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,New Jersey,Northeast,Middle Atlantic,8534,PA - Philadelphia,15,83187.13,11986.66,11464.8
682 - RENAL FAILURE W MCC,310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,350 ENGLE ST,ENGLEWOOD,NJ,New Jersey,Northeast,Middle Atlantic,7631,NJ - Hackensack,57,83852.59,12843.91,12001.05
682 - RENAL FAILURE W MCC,310047,SHORE MEDICAL CENTER,1 EAST NEW YORK AVE,SOMERS POINT,NJ,New Jersey,Northeast,Middle Atlantic,8244,NJ - Camden,64,83457.34,11301.07,10715.98
682 - RENAL FAILURE W MCC,310048,SOMERSET MEDICAL CENTER,110 REHILL AVE,SOMERVILLE,NJ,New Jersey,Northeast,Middle Atlantic,8876,NJ - New Brunswick,54,112197.9,12578.22,10720.12
682 - RENAL FAILURE W MCC,310050,SAINT CLARE'S HOSPITAL,25 POCONO ROAD,DENVILLE,NJ,New Jersey,Northeast,Middle Atlantic,7834,NJ - Morristown,91,63085.7,10661.38,9841.25
682 - RENAL FAILURE W MCC,310051,OVERLOOK HOSPITAL,99 BEAUVIOR AVE,SUMMIT,NJ,New Jersey,Northeast,Middle Atlantic,7902,NJ - Morristown,87,51970.27,12754.31,11560.44
682 - RENAL FAILURE W MCC,310052,OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,New Jersey,Northeast,Middle Atlantic,8724,NJ - Camden,73,95138.35,10772.13,9983.2
682 - RENAL FAILURE W MCC,310054,MOUNTAINSIDE HOSPITAL,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,New Jersey,Northeast,Middle Atlantic,7042,NJ - Newark,23,81805.26,15001.82,14489.21
682 - RENAL FAILURE W MCC,310057,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,New Jersey,Northeast,Middle Atlantic,8060,NJ - Camden,67,70676.76,10692.76,10013.26
682 - RENAL FAILURE W MCC,310060,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,New Jersey,Northeast,Middle Atlantic,8865,PA - Allentown,54,81785.96,12120.31,11481.48
682 - RENAL FAILURE W MCC,310061,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,218A SUNSET ROAD,WILLINGBORO,NJ,New Jersey,Northeast,Middle Atlantic,8046,NJ - Camden,32,111778.18,11933.12,11179.53
682 - RENAL FAILURE W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,1925 PACIFIC AVE,ATLANTIC CITY,NJ,New Jersey,Northeast,Middle Atlantic,8401,NJ - Camden,68,80552.91,11573.35,10491.08
682 - RENAL FAILURE W MCC,310069,SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL,501 WEST FRONT STREET,ELMER,NJ,New Jersey,Northeast,Middle Atlantic,8318,NJ - Camden,13,61092.15,9916.0,9483.07
682 - RENAL FAILURE W MCC,310070,SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVE,NEW BRUNSWICK,NJ,New Jersey,Northeast,Middle Atlantic,8901,NJ - New Brunswick,45,107654.66,14593.11,13944.75
682 - RENAL FAILURE W MCC,310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,New Jersey,Northeast,Middle Atlantic,7754,NJ - Camden,105,99356.93,13312.63,12612.74
682 - RENAL FAILURE W MCC,310074,LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS,355 GRAND STREET,JERSEY CITY,NJ,New Jersey,Northeast,Middle Atlantic,7302,NJ - Newark,28,71049.42,15929.53,15324.25
682 - RENAL FAILURE W MCC,310075,MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,LONG BRANCH,NJ,New Jersey,Northeast,Middle Atlantic,7740,NJ - Camden,46,90973.69,14093.78,12744.34
682 - RENAL FAILURE W MCC,310076,SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,New Jersey,Northeast,Middle Atlantic,7039,NJ - Newark,78,75114.8,14602.03,13822.75
682 - RENAL FAILURE W MCC,310081,UNDERWOOD - MEMORIAL HOSPITAL,509 N BROAD ST,WOODBURY,NJ,New Jersey,Northeast,Middle Atlantic,8096,PA - Philadelphia,59,75104.28,10756.35,10112.67
682 - RENAL FAILURE W MCC,310083,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,New Jersey,Northeast,Middle Atlantic,7018,NJ - Newark,70,59853.54,12430.74,11865.72
682 - RENAL FAILURE W MCC,310084,KIMBALL MEDICAL CENTER,600 RIVER AVE,LAKEWOOD,NJ,New Jersey,Northeast,Middle Atlantic,8701,NJ - Camden,44,84719.06,10814.2,10238.97
682 - RENAL FAILURE W MCC,310086,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,18 EAST LAUREL ROAD,STRATFORD,NJ,New Jersey,Northeast,Middle Atlantic,8084,NJ - Camden,106,78890.63,13193.33,12354.53
682 - RENAL FAILURE W MCC,310091,MEMORIAL HOSPITAL OF SALEM COUNTY,310 WOODSTOWN ROAD,SALEM,NJ,New Jersey,Northeast,Middle Atlantic,8079,DE - Wilmington,36,48673.97,10036.58,9447.13
682 - RENAL FAILURE W MCC,310092,CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,TRENTON,NJ,New Jersey,Northeast,Middle Atlantic,8638,PA - Philadelphia,30,105591.13,13707.23,12775.56
682 - RENAL FAILURE W MCC,310096,"SAINT MICHAEL'S MEDICAL CENTER, INC",111 CENTRAL AVENUE,NEWARK,NJ,New Jersey,Northeast,Middle Atlantic,7102,NJ - Newark,50,54603.92,15356.96,14746.6
682 - RENAL FAILURE W MCC,310108,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,65 JAMES STREET,EDISON,NJ,New Jersey,Northeast,Middle Atlantic,8818,NJ - New Brunswick,81,81789.33,12018.16,11086.91
682 - RENAL FAILURE W MCC,310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,New Jersey,Northeast,Middle Atlantic,8690,PA - Philadelphia,62,83851.56,9753.85,9128.08
682 - RENAL FAILURE W MCC,310111,CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,New Jersey,Northeast,Middle Atlantic,7728,NJ - Camden,88,55559.75,10340.61,9433.5
682 - RENAL FAILURE W MCC,310112,BAYSHORE COMMUNITY HOSPITAL,727 N BEERS ST,HOLMDEL,NJ,New Jersey,Northeast,Middle Atlantic,7733,NJ - Camden,56,63951.03,10121.46,9621.23
682 - RENAL FAILURE W MCC,310113,SOUTHERN OCEAN MEDICAL CENTER,1140 RT 72 W,MANAHAWKIN,NJ,New Jersey,Northeast,Middle Atlantic,8050,NJ - Camden,36,52532.47,10286.63,9622.88
682 - RENAL FAILURE W MCC,310115,HACKETTSTOWN REGIONAL MEDICAL CENTER,651 WILLOW GROVE ST,HACKETTSTOWN,NJ,New Jersey,Northeast,Middle Atlantic,7840,NJ - Morristown,24,63072.87,11277.87,10670.04
682 - RENAL FAILURE W MCC,310118,MEADOWLANDS HOSPITAL MEDICAL CENTER,55 MEADOWLANDS PKWY,SECAUCUS,NJ,New Jersey,Northeast,Middle Atlantic,7094,NJ - Hackensack,13,101937.92,12341.07,11309.69
682 - RENAL FAILURE W MCC,310119,UMDNJ UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,New Jersey,Northeast,Middle Atlantic,7103,NJ - Newark,42,53470.38,19087.0,18393.85
682 - RENAL FAILURE W MCC,320001,UNM HOSPITAL,2211 LOMAS BOULEVARD NE,ALBUQUERQUE,NM,New Mexico,West,Mountain,87106,NM - Albuquerque,42,23809.04,16628.38,15816.3
682 - RENAL FAILURE W MCC,320002,ST VINCENT HOSPITAL,455 ST MICHAEL'S DRIVE,SANTA FE,NM,New Mexico,West,Mountain,87505,NM - Albuquerque,55,25018.2,14958.23,12205.83
682 - RENAL FAILURE W MCC,320004,GERALD CHAMPION REGIONAL MEDICAL CENTE,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,New Mexico,West,Mountain,88310,TX - El Paso,21,18273.47,12311.09,11286.33
682 - RENAL FAILURE W MCC,320005,SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,New Mexico,West,Mountain,87401,NM - Albuquerque,25,38950.64,14691.24,12523.28
682 - RENAL FAILURE W MCC,320006,EASTERN NEW MEXICO MEDICAL CENTER,405 W COUNTRY CLUB RD,ROSWELL,NM,New Mexico,West,Mountain,88201,NM - Albuquerque,39,46669.69,9953.48,9201.28
